                  Name                             Nickname           OFX Home
======================================= ============================= ========
1st Advantage FCU                       firstadvantage                542     
1st National Bank Of South Florida      firstnatl                     838     
1st Source Bank                         firstsource                   840     
5 Star Bank                             fivestar                      774     
ABCO Federal Credit Union               abco                          841     
Affinity Federal Credit Union           affinityfcu                   846     
AIM Investments                         aim                           497     
Air Academy FCU                         aafcu-alt                     1522    
Alarion Bank                            alarion                       848     
Allegacy Federal Credit Union           allegacy                      849     
Alliance Bank of Arizona                alliance                      851     
Allied First Bank                       alliedfirst                   852     
Allsouth Federal Credit Union           allsouth                      853     
Alpine Bank                             alpine                        854     
ALTA Alliance Bank                      alta                          855     
Altra Federal Credit Union              altra                         856     
Altra Federal CU                        altra-alt                     1523    
Amegy Bank of Texas                     amegy-tx                      857     
America First Credit Union              americafirst                  533     
American Community Bank of IN           acbank                        860     
American Express Card                   amex                          424     
American Momentum Bank                  momentum                      859     
American National Bank                  americannatl                  669     
Ameriprise Brokerage 133 Direct         ameriprise-alt                861     
Ameriprise Financial Services, Inc.     ameriprise                    489     
Ameriprise MasterCard                   ameriprise-cc                 862     
AmeriServ Financial Bank                ameriserv                     864     
Ameritrade                              ameritrade                    865     
Anchor Bank, N.A.                       anchor                        866     
Andover Bank-RO                         andover                       867     
Andrews FCU                             andrews                       868     
APCO EMPLOYEES CREDIT UNION             apco                          521     
Ariel Mutual Funds                      ariel                         566     
Arizona Federal Credit Union            azfederal                     637     
Arkansas Best FCU                       abfcu                         871     
Arthur State Bank                       arthur                        873     
Athol Savings Bank DC Quicken           athol                         874     
Atlanta Postal Credit Union             apcu                          875     
Atlantic Capital Bank                   atlantic                      876     
Atlantic Stewardship Bank               asb                           877     
Atomic Credit Union                     atomic                        878     
BancFirst                               bancfirst                     644     
Bancorpsouth                            bancorpsouth                  803     
Bangor Savings Bank Direct              bangor                        882     
Bank at United                          united                        884     
Bank of Akron                           akron                         885     
Bank of America                         bofa                          639     
Bank of America (Formerly Fleet)        fleet                         674     
Bank of America - access.ofx            bofa-alt                      790     
Bank of California - Direct             bancofcal                     880     
Bank of Colorado QN DC                  colorado                      887     
Bank of Dickson                         dickson                       889     
Bank of Dudley                          dudley                        890     
The Bank of Greene County               greenecounty                  1423    
Bank of Herrin                          herrin                        892     
Bank of Internet, USA                   internet                      787     
Bank of North Carolina                  bnc                           896     
The Bank of Princeton                   princeton                     897     
Bank of Tampa, The                      tampa                         522     
Bank of the James                       james                         899     
Bank OfCanaan                           canaan                        894     
The Bank ofCanaan                       canaan-alt                    910     
Bank One (Chicago)                      bankone-il                    672     
Bank One (Michigan and Florida)         bankone-mi                    673     
Bank OZK                                ozk                           1530    
Bank San Juans                          sanjuans                      901     
Bank X                                  bankx                         902     
BankBoston PC Banking                   boston                        675     
bankfinancial                           financial                     762     
